signal_date,entry_date,exit_date,direction,entry_price,exit_price,quantity,pnl_points,pnl_amount,holding_bars,exit_reason
2015-02-24,2015-02-25,2015-03-03,long,9697.0,9596.0,1,-101.0,-5090.0,4,fixed_stop
2015-03-19,2015-03-20,2015-03-26,long,9742.0,9589.0,1,-153.0,-7690.0,5,fixed_stop
2015-03-26,2015-03-27,2015-04-23,short,9610.0,9711.0,1,-101.0,-5090.0,18,fixed_stop
2015-04-23,2015-04-24,2015-05-06,long,9881.0,9780.0,1,-101.0,-5090.0,8,fixed_stop
2015-05-29,2015-06-01,2015-06-01,long,9668.0,9630.0,1,-38.0,-1940.0,1,chandelier
2015-06-01,2015-06-02,2015-06-25,short,9591.0,9344.0,1,247.0,12310.0,17,chandelier
2015-07-08,2015-07-09,2015-07-09,short,8801.0,8902.0,1,-101.0,-5090.0,1,fixed_stop
2015-08-17,2015-08-18,2015-08-25,short,8235.0,7577.0,1,658.0,32860.0,6,chandelier
2015-11-04,2015-11-05,2015-11-06,long,8878.0,8777.0,1,-101.0,-5090.0,2,fixed_stop
2015-11-09,2015-11-10,2015-12-03,short,8579.0,8475.0,1,104.0,5160.0,18,macd_reverse
2015-12-03,2015-12-04,2015-12-04,long,8366.0,8393.0,1,27.0,1310.0,1,chandelier
2015-12-04,2015-12-07,2015-12-07,short,8499.0,8469.0,1,30.0,1460.0,1,macd_reverse
2015-12-07,2015-12-08,2015-12-08,long,8441.0,8340.0,1,-101.0,-5090.0,1,fixed_stop
2015-12-08,2015-12-09,2015-12-21,short,8302.0,8284.0,1,18.0,860.0,9,macd_reverse
2016-01-04,2016-01-05,2016-01-25,short,8094.0,7836.0,1,258.0,12860.0,15,macd_reverse
2016-05-23,2016-05-24,2016-06-16,long,8334.0,8280.0,1,-54.0,-2740.0,17,chandelier
2016-06-16,2016-06-17,2016-06-17,short,8344.0,8397.0,1,-53.0,-2690.0,1,chandelier
2016-07-01,2016-07-04,2016-07-06,long,8640.0,8539.0,1,-101.0,-5090.0,3,fixed_stop
2016-08-10,2016-08-11,2016-08-11,long,9125.0,9024.0,1,-101.0,-5090.0,1,fixed_stop
2016-09-07,2016-09-08,2016-09-09,long,9254.0,9153.0,1,-101.0,-5090.0,2,fixed_stop
2016-09-10,2016-09-12,2016-09-19,short,8983.0,9084.0,1,-101.0,-5090.0,4,fixed_stop
2016-09-21,2016-09-22,2016-10-13,long,9219.0,9200.0,1,-19.0,-990.0,13,macd_reverse
2016-10-24,2016-10-25,2016-10-31,long,9329.0,9228.0,1,-101.0,-5090.0,5,fixed_stop
2016-11-23,2016-11-24,2016-12-20,long,9160.0,9261.0,1,101.0,5010.0,19,macd_reverse
2016-12-20,2016-12-21,2017-01-04,short,9259.0,9273.0,1,-14.0,-740.0,10,macd_reverse
2017-01-04,2017-01-05,2017-01-19,long,9272.0,9303.0,1,31.0,1510.0,11,macd_reverse
2017-01-23,2017-01-24,2017-02-24,long,9429.0,9759.0,1,330.0,16460.0,19,macd_reverse
2017-03-17,2017-03-20,2017-03-29,long,9874.0,9859.0,1,-15.0,-790.0,8,macd_reverse
2017-04-27,2017-04-28,2017-05-22,long,9847.0,9974.0,1,127.0,6310.0,16,macd_reverse
2017-05-24,2017-05-25,2017-06-13,long,10042.0,10134.0,1,92.0,4560.0,13,macd_reverse
2017-06-20,2017-06-21,2017-06-30,long,10272.0,10253.0,1,-19.0,-990.0,8,macd_reverse
2017-07-13,2017-07-14,2017-07-21,long,10419.0,10326.0,1,-93.0,-4690.0,6,macd_reverse
2017-07-21,2017-07-24,2017-07-26,short,10297.0,10398.0,1,-101.0,-5090.0,3,fixed_stop
2017-08-07,2017-08-08,2017-08-09,long,10553.0,10452.0,1,-101.0,-5090.0,2,fixed_stop
2017-08-10,2017-08-11,2017-08-11,short,10229.0,10304.0,1,-75.0,-3790.0,1,chandelier
2017-08-24,2017-08-25,2017-09-14,long,10473.0,10529.0,1,56.0,2760.0,15,macd_reverse
2017-09-18,2017-09-19,2017-09-20,long,10649.0,10548.0,1,-101.0,-5090.0,2,fixed_stop
2017-09-20,2017-09-21,2017-10-05,short,10506.0,10506.0,1,-0.0,-40.0,11,macd_reverse
2017-10-05,2017-10-06,2017-11-06,long,10534.0,10769.0,1,235.0,11710.0,20,macd_reverse
2017-11-23,2017-11-24,2017-11-27,long,10843.0,10742.0,1,-101.0,-5090.0,2,fixed_stop
2017-11-28,2017-11-29,2017-12-21,short,10747.0,10497.0,1,250.0,12460.0,17,macd_reverse
2018-03-06,2018-03-07,2018-03-07,long,10712.0,10709.0,1,-3.0,-190.0,1,chandelier
2018-03-23,2018-03-26,2018-03-26,short,10689.0,10790.0,1,-101.0,-5090.0,1,fixed_stop
2018-04-12,2018-04-13,2018-04-17,long,10969.0,10868.0,1,-101.0,-5090.0,3,fixed_stop
2018-04-17,2018-04-18,2018-04-19,short,10849.0,10950.0,1,-101.0,-5090.0,2,fixed_stop
2018-08-13,2018-08-14,2018-08-28,short,10793.0,10946.0,1,-153.0,-7690.0,11,fixed_stop
2018-08-28,2018-08-29,2018-09-06,long,10981.0,10880.0,1,-101.0,-5090.0,7,fixed_stop
2018-09-07,2018-09-10,2018-09-21,short,10859.0,10960.0,1,-101.0,-5090.0,10,fixed_stop
2018-09-21,2018-09-25,2018-10-03,long,10956.0,10855.0,1,-101.0,-5090.0,7,fixed_stop
2018-10-04,2018-10-05,2018-11-01,short,10653.0,9790.0,1,863.0,43110.0,19,macd_reverse
2018-12-10,2018-12-11,2018-12-12,short,9655.0,9756.0,1,-101.0,-5090.0,2,fixed_stop
2018-12-13,2018-12-14,2018-12-14,long,9811.0,9710.0,1,-101.0,-5090.0,1,fixed_stop
2018-12-20,2018-12-21,2019-01-02,short,9625.0,9760.0,1,-135.0,-6790.0,8,fixed_stop
2019-01-09,2019-01-10,2019-03-07,long,9712.0,10261.0,1,549.0,27410.0,32,macd_reverse
2019-03-19,2019-03-20,2019-03-26,long,10493.0,10523.0,1,30.0,1460.0,5,macd_reverse
2019-04-02,2019-04-03,2019-04-26,long,10686.0,10933.0,1,247.0,12310.0,16,macd_reverse
2019-08-27,2019-08-28,2019-08-28,short,10384.0,10415.0,1,-31.0,-1590.0,1,chandelier
2019-10-14,2019-10-15,2019-11-12,long,11078.0,11522.0,1,444.0,22160.0,21,macd_reverse
2019-12-12,2019-12-13,2019-12-31,long,11976.0,11994.0,1,18.0,860.0,13,macd_reverse
2020-02-24,2020-02-25,2020-02-25,short,11399.0,11500.0,1,-101.0,-5090.0,1,fixed_stop
2020-06-02,2020-06-03,2020-06-15,long,11250.0,11227.0,1,-23.0,-1190.0,9,macd_reverse
2020-07-03,2020-07-06,2020-07-17,long,11929.0,12038.0,1,109.0,5410.0,10,macd_reverse
2020-07-22,2020-07-23,2020-07-23,long,12311.0,12210.0,1,-101.0,-5090.0,1,fixed_stop
2020-07-27,2020-07-28,2020-07-28,long,12838.0,12737.0,1,-101.0,-5090.0,1,fixed_stop
2020-09-16,2020-09-17,2020-09-21,long,12861.0,12760.0,1,-101.0,-5090.0,3,fixed_stop
2020-09-21,2020-09-22,2020-10-06,short,12628.0,12676.0,1,-48.0,-2440.0,9,chandelier
2020-10-07,2020-10-08,2020-10-15,long,12833.0,12732.0,1,-101.0,-5090.0,5,fixed_stop
2020-10-28,2020-10-29,2020-10-29,short,12599.0,12607.0,1,-8.0,-440.0,1,chandelier
2020-11-06,2020-11-09,2020-12-14,long,13086.0,14200.0,1,1114.0,55660.0,26,macd_reverse
2020-12-30,2020-12-31,2021-01-26,long,14679.0,15623.0,1,944.0,47160.0,18,macd_reverse
2021-02-18,2021-02-19,2021-02-19,long,16295.0,16194.0,1,-101.0,-5090.0,1,fixed_stop
2021-03-30,2021-03-31,2021-03-31,long,16537.0,16436.0,1,-101.0,-5090.0,1,fixed_stop
2021-05-26,2021-05-27,2021-05-27,long,16600.0,16499.0,1,-101.0,-5090.0,1,fixed_stop
2021-06-22,2021-06-23,2021-06-23,short,17098.0,17199.0,1,-101.0,-5090.0,1,fixed_stop
2021-06-25,2021-06-28,2021-07-14,long,17482.0,17871.0,1,389.0,19410.0,13,macd_reverse
2021-07-15,2021-07-16,2021-07-19,long,17822.0,17716.0,1,-106.0,-5340.0,2,fixed_stop
2021-09-22,2021-09-23,2021-09-23,short,17002.0,17103.0,1,-101.0,-5090.0,1,fixed_stop
2021-11-26,2021-11-29,2021-11-29,short,17235.0,17336.0,1,-101.0,-5090.0,1,fixed_stop
2021-12-09,2021-12-10,2021-12-13,long,17811.0,17752.0,1,-59.0,-2990.0,2,macd_reverse
2021-12-24,2021-12-27,2022-01-11,long,17973.0,18280.0,1,307.0,15310.0,11,macd_reverse
2022-01-13,2022-01-14,2022-01-14,long,18556.0,18455.0,1,-101.0,-5090.0,1,fixed_stop
2022-01-17,2022-01-18,2022-01-18,long,18532.0,18431.0,1,-101.0,-5090.0,1,fixed_stop
2022-02-17,2022-02-18,2022-02-21,long,18072.0,17971.0,1,-101.0,-5090.0,2,fixed_stop
2022-02-22,2022-02-23,2022-02-23,short,17949.0,18050.0,1,-101.0,-5090.0,1,fixed_stop
2022-04-08,2022-04-11,2022-04-13,short,17219.0,17320.0,1,-101.0,-5090.0,3,fixed_stop
2022-06-14,2022-06-15,2022-07-14,short,16063.0,14388.0,1,1675.0,83710.0,22,macd_reverse
2022-08-24,2022-08-25,2022-08-25,short,15125.0,15226.0,1,-101.0,-5090.0,1,fixed_stop
2022-10-11,2022-10-12,2022-10-14,short,13041.0,13145.0,1,-104.0,-5240.0,3,fixed_stop
2023-01-09,2023-01-10,2023-02-15,long,14749.0,15396.0,1,647.0,32310.0,19,macd_reverse
2023-03-24,2023-03-27,2023-03-28,long,15873.0,15772.0,1,-101.0,-5090.0,2,fixed_stop
2023-04-19,2023-04-20,2023-05-09,short,15732.0,15739.0,1,-7.0,-390.0,13,macd_reverse
2023-05-09,2023-05-10,2023-05-10,long,15694.0,15593.0,1,-101.0,-5090.0,1,fixed_stop
2023-05-11,2023-05-12,2023-05-12,short,15453.0,15554.0,1,-101.0,-5090.0,1,fixed_stop
2023-05-17,2023-05-18,2023-06-26,long,16035.0,16874.0,1,839.0,41910.0,26,macd_reverse
2023-06-26,2023-06-27,2023-06-27,short,16800.0,16742.0,1,58.0,2860.0,1,chandelier
2023-07-17,2023-07-18,2023-07-18,long,17346.0,17245.0,1,-101.0,-5090.0,1,fixed_stop
2023-07-28,2023-07-31,2023-07-31,long,17399.0,17298.0,1,-101.0,-5090.0,1,fixed_stop
2023-08-29,2023-08-30,2023-08-30,long,16739.0,16723.0,1,-16.0,-840.0,1,chandelier
2023-09-21,2023-09-22,2023-09-22,short,16199.0,16300.0,1,-101.0,-5090.0,1,fixed_stop
2023-10-06,2023-10-11,2023-10-11,long,16801.0,16700.0,1,-101.0,-5090.0,1,fixed_stop
2023-10-20,2023-10-23,2023-10-25,short,16349.0,16450.0,1,-101.0,-5090.0,3,fixed_stop
2023-11-03,2023-11-06,2023-12-05,long,16676.0,17309.0,1,633.0,31610.0,22,macd_reverse
2023-12-15,2023-12-18,2023-12-19,long,17666.0,17565.0,1,-101.0,-5090.0,2,fixed_stop
2023-12-27,2023-12-28,2024-01-02,long,17851.0,17750.0,1,-101.0,-5090.0,3,fixed_stop
2024-01-03,2024-01-04,2024-01-08,short,17532.0,17633.0,1,-101.0,-5090.0,3,fixed_stop
2024-01-23,2024-01-24,2024-03-19,long,17903.0,19866.0,1,1963.0,98110.0,32,macd_reverse
2024-03-22,2024-03-25,2024-03-25,long,20251.0,20225.0,1,-26.0,-1340.0,1,macd_reverse
2024-04-10,2024-04-11,2024-04-12,long,20706.0,20751.0,1,45.0,2210.0,2,macd_reverse
2024-05-06,2024-05-07,2024-05-07,long,20729.0,20628.0,1,-101.0,-5090.0,1,fixed_stop
2024-06-13,2024-06-14,2024-06-27,long,22269.0,22793.0,1,524.0,26160.0,10,macd_reverse
2024-07-04,2024-07-05,2024-07-05,long,23649.0,23548.0,1,-101.0,-5090.0,1,fixed_stop
2024-09-04,2024-09-05,2024-09-05,short,21299.0,21400.0,1,-101.0,-5090.0,1,fixed_stop
2024-10-29,2024-10-30,2024-11-05,short,23075.0,23176.0,1,-101.0,-5090.0,4,fixed_stop
2024-11-08,2024-11-11,2024-11-11,long,23559.0,23458.0,1,-101.0,-5090.0,1,fixed_stop
2024-11-12,2024-11-13,2024-11-13,short,22761.0,22862.0,1,-101.0,-5090.0,1,fixed_stop
2024-12-04,2024-12-05,2024-12-06,long,23269.0,23168.0,1,-101.0,-5090.0,2,fixed_stop
2024-12-19,2024-12-20,2024-12-23,short,22774.0,22899.0,1,-125.0,-6290.0,2,fixed_stop
2024-12-24,2024-12-25,2024-12-27,long,23335.0,23200.0,1,-135.0,-6790.0,3,fixed_stop
2025-01-02,2025-01-03,2025-01-03,short,22918.0,23019.0,1,-101.0,-5090.0,1,fixed_stop
2025-01-06,2025-01-07,2025-01-07,long,23977.0,23876.0,1,-101.0,-5090.0,1,fixed_stop
2025-01-10,2025-01-13,2025-01-16,short,22977.0,23078.0,1,-101.0,-5090.0,4,fixed_stop
2025-01-21,2025-01-22,2025-02-03,long,23596.0,22713.0,1,-883.0,-44190.0,2,fixed_stop
2025-02-03,2025-02-04,2025-02-05,short,22916.0,23068.0,1,-152.0,-7640.0,2,fixed_stop
2025-02-06,2025-02-07,2025-02-10,long,23291.0,23190.0,1,-101.0,-5090.0,2,fixed_stop
2025-03-28,2025-03-31,2025-03-31,short,20862.0,20963.0,1,-101.0,-5090.0,1,fixed_stop
2025-06-10,2025-06-11,2025-06-11,long,22302.0,22201.0,1,-101.0,-5090.0,1,fixed_stop
2025-07-02,2025-07-03,2025-07-04,long,22571.0,22470.0,1,-101.0,-5090.0,2,fixed_stop
2025-07-10,2025-07-11,2025-07-30,long,22513.0,23362.0,1,849.0,42410.0,14,macd_reverse
2025-07-31,2025-08-01,2025-08-01,long,23106.0,23347.0,1,241.0,12010.0,1,macd_reverse
2025-08-07,2025-08-08,2025-08-08,long,24081.0,23980.0,1,-101.0,-5090.0,1,fixed_stop
2025-08-20,2025-08-21,2025-08-21,short,23719.0,23820.0,1,-101.0,-5090.0,1,fixed_stop
2025-09-09,2025-09-10,2025-10-01,long,24986.0,26045.0,1,1059.0,52910.0,15,macd_reverse
2025-10-02,2025-10-03,2025-10-03,long,26491.0,26390.0,1,-101.0,-5090.0,1,fixed_stop
2025-12-03,2025-12-04,2025-12-04,long,27840.0,27739.0,1,-101.0,-5090.0,1,fixed_stop
2025-12-17,2025-12-18,2025-12-18,short,27492.0,27593.0,1,-101.0,-5090.0,1,fixed_stop
2025-12-23,2025-12-24,2025-12-24,long,28576.0,28475.0,1,-101.0,-5090.0,1,fixed_stop
